date,DOY,d
01-01-2020,1,0.98331
02-01-2020,2,0.98330
03-01-2020,3,0.98330
04-01-2020,4,0.98330
05-01-2020,5,0.98330
06-01-2020,6,0.98332
07-01-2020,7,0.98333
08-01-2020,8,0.98335
09-01-2020,9,0.98338
10-01-2020,10,0.98341
11-01-2020,11,0.98345
12-01-2020,12,0.98349
13-01-2020,13,0.98354
14-01-2020,14,0.98359
15-01-2020,15,0.98365
16-01-2020,16,0.98371
17-01-2020,17,0.98378
18-01-2020,18,0.98385
19-01-2020,19,0.98393
20-01-2020,20,0.98401
21-01-2020,21,0.98410
22-01-2020,22,0.98419
23-01-2020,23,0.98428
24-01-2020,24,0.98439
25-01-2020,25,0.98449
26-01-2020,26,0.98460
27-01-2020,27,0.98472
28-01-2020,28,0.98484
29-01-2020,29,0.98496
30-01-2020,30,0.98509
31-01-2020,31,0.98523
01-02-2020,32,0.98536
02-02-2020,33,0.98551
03-02-2020,34,0.98565
04-02-2020,35,0.98580
05-02-2020,36,0.98596
06-02-2020,37,0.98612
07-02-2020,38,0.98628
08-02-2020,39,0.98645
09-02-2020,40,0.98662
10-02-2020,41,0.98680
11-02-2020,42,0.98698
12-02-2020,43,0.98717
13-02-2020,44,0.98735
14-02-2020,45,0.98755
15-02-2020,46,0.98774
16-02-2020,47,0.98794
17-02-2020,48,0.98814
18-02-2020,49,0.98835
19-02-2020,50,0.98856
20-02-2020,51,0.98877
21-02-2020,52,0.98899
22-02-2020,53,0.98921
23-02-2020,54,0.98944
24-02-2020,55,0.98966
25-02-2020,56,0.98989
26-02-2020,57,0.99012
27-02-2020,58,0.99036
28-02-2020,59,0.99060
29-02-2020,60,0.99084
01-03-2020,61,0.99108
02-03-2020,62,0.99133
03-03-2020,63,0.99158
04-03-2020,64,0.99183
05-03-2020,65,0.99208
06-03-2020,66,0.99234
07-03-2020,67,0.99260
08-03-2020,68,0.99286
09-03-2020,69,0.99312
10-03-2020,70,0.99339
11-03-2020,71,0.99365
12-03-2020,72,0.99392
13-03-2020,73,0.99419
14-03-2020,74,0.99446
15-03-2020,75,0.99474
16-03-2020,76,0.99501
17-03-2020,77,0.99529
18-03-2020,78,0.99556
19-03-2020,79,0.99584
20-03-2020,80,0.99612
21-03-2020,81,0.99640
22-03-2020,82,0.99669
23-03-2020,83,0.99697
24-03-2020,84,0.99725
25-03-2020,85,0.99754
26-03-2020,86,0.99782
27-03-2020,87,0.99811
28-03-2020,88,0.99840
29-03-2020,89,0.99868
30-03-2020,90,0.99897
